timestamp,x,y,theta
0.033,0.0000,0.0000,0.0000
0.053,0.0000,0.0000,0.0000
0.073,0.0000,0.0000,0.0000
0.093,0.0000,0.0000,0.0000
0.113,0.0000,0.0000,0.0000
0.132,0.0000,0.0000,0.0000
0.153,0.0000,0.0000,0.0000
0.173,0.0000,0.0000,0.0000
0.193,0.0000,0.0000,0.0000
0.213,0.0000,0.0000,0.0000
0.233,0.0000,0.0000,0.0000
0.253,0.0000,0.0000,0.0000
0.273,0.0000,0.0000,0.0000
0.293,0.0000,0.0000,0.0000
0.313,0.0000,0.0000,0.0000
0.333,0.0000,0.0000,0.0000
0.353,0.0000,0.0000,0.0000
0.373,0.0000,0.0000,0.0000
0.393,0.0000,0.0000,0.0000
0.413,0.0000,0.0000,0.0000
0.433,0.0000,0.0000,0.0000
0.453,0.0000,0.0000,0.0000
0.473,0.0000,0.0000,0.0000
0.493,0.0000,0.0000,0.0000
0.513,0.0000,0.0000,0.0000
0.533,0.0000,0.0000,0.0000
0.553,0.0000,0.0000,0.0000
0.573,0.0000,0.0000,0.0000
0.593,0.0000,0.0000,0.0000
0.613,0.0000,0.0000,0.0000
0.633,0.0000,0.0000,0.0000
0.653,0.0000,0.0000,0.0000
0.673,0.0000,0.0000,0.0000
0.693,0.0000,0.0000,0.0000
0.713,0.0000,0.0000,0.0000
0.733,0.0000,0.0000,0.0000
0.753,0.0000,0.0000,0.0000
0.773,0.0000,0.0000,0.0000
0.793,0.0000,0.0000,0.0000
0.813,0.0000,0.0000,0.0000
0.833,0.0000,0.0000,0.0000
0.853,0.0000,0.0000,0.0000
0.873,0.0000,0.0000,0.0000
0.893,0.0000,0.0000,0.0000
0.913,0.0000,0.0000,0.0000
0.933,0.0000,0.0000,0.0000
0.953,0.0000,0.0000,0.0000
0.973,0.0000,0.0000,0.0000
0.993,0.0000,0.0000,0.0000
1.013,0.0000,0.0000,0.0000
1.033,0.0000,0.0000,0.0000
1.053,0.0000,0.0000,0.0000
1.073,0.0000,0.0000,0.0000
1.093,0.0000,0.0000,0.0000
1.113,0.0000,0.0000,0.0000
1.133,0.0000,0.0000,0.0000
1.153,0.0000,0.0000,0.0000
1.173,0.0000,0.0000,0.0000
1.193,0.0000,0.0000,0.0000
1.213,0.0000,0.0000,0.0000
1.233,0.0000,0.0000,0.0000
1.253,0.0000,0.0000,0.0000
1.273,0.0000,0.0000,0.0000
1.293,0.0000,0.0000,0.0000
1.313,0.0000,0.0000,0.0000
1.333,0.0000,0.0000,0.0000
1.353,0.0000,0.0000,0.0000
1.373,0.0000,0.0000,0.0000
1.393,0.0000,0.0000,0.0000
1.413,0.0000,0.0000,0.0000
1.433,0.0000,0.0000,0.0000
1.453,0.0000,0.0000,0.0000
1.473,0.0000,0.0000,0.0000
1.493,0.0000,0.0000,0.0000
1.513,0.0000,0.0000,0.0000
1.533,0.0000,0.0000,0.0000
1.553,0.0000,0.0000,0.0000
1.573,0.0000,0.0000,0.0000
1.593,0.0000,0.0000,0.0000
1.613,0.0000,0.0000,0.0000
1.633,0.0000,0.0000,0.0000
1.653,0.0000,0.0000,0.0000
1.673,0.0000,0.0000,0.0000
1.693,0.0000,0.0000,0.0000
1.713,0.0000,0.0000,0.0000
1.733,0.0000,0.0000,0.0000
1.752,0.0000,0.0000,0.0000
1.773,0.0000,0.0000,0.0000
1.793,0.0000,0.0000,0.0000
1.813,0.0000,0.0000,0.0000
1.832,0.0000,0.0000,0.0000
1.853,0.0000,0.0000,0.0000
1.873,0.0000,0.0000,0.0000
1.893,0.0000,0.0000,0.0000
1.913,0.0000,0.0000,0.0000
1.933,0.0000,0.0000,0.0000
1.953,0.0000,0.0000,0.0000
1.973,0.0000,0.0000,0.0000
1.993,0.0000,0.0000,0.0000
2.013,0.0000,0.0000,0.0000
2.033,0.0000,0.0000,0.0000
2.053,0.0000,0.0000,0.0000
2.073,0.0000,0.0000,0.0000
2.092,0.0000,0.0000,0.0000
2.113,0.0000,0.0000,0.0000
2.133,0.0000,0.0000,0.0000
2.153,0.0000,0.0000,0.0000
2.173,0.0000,0.0000,0.0000
2.193,0.0000,0.0000,0.0000
2.213,0.0000,0.0000,0.0000
2.233,0.0000,0.0000,0.0000
2.253,0.0000,0.0000,0.0000
2.272,0.0000,0.0000,0.0000
2.293,0.0000,0.0000,0.0000
2.313,0.0000,0.0000,0.0000
2.333,0.0000,0.0000,0.0000
2.353,0.0000,0.0000,0.0000
2.373,0.0000,0.0000,0.0000
2.393,0.0000,0.0000,0.0000
2.412,0.0000,0.0000,0.0000
2.433,0.0000,0.0000,0.0000
2.453,0.0000,0.0000,0.0000
2.473,0.0000,0.0000,0.0000
2.493,0.0000,0.0000,0.0000
2.513,0.0000,0.0000,0.0000
2.533,0.0000,0.0000,0.0000
2.553,0.0000,0.0000,0.0000
2.573,0.0000,0.0000,0.0000
2.593,0.0000,0.0000,0.0000
2.612,0.0000,0.0000,0.0000
2.633,0.0000,0.0000,0.0000
2.653,0.0000,0.0000,0.0000
2.673,0.0000,0.0000,0.0000
2.693,0.0000,0.0000,0.0000
2.713,0.0000,0.0000,0.0000
2.733,0.0000,0.0000,0.0000
2.753,0.0000,0.0000,0.0000
2.773,0.0000,0.0000,0.0000
2.793,0.0000,0.0000,0.0000
2.813,0.0000,0.0000,0.0000
2.833,0.0000,0.0000,0.0000
2.853,0.0000,0.0000,0.0000
2.873,0.0000,0.0000,0.0000
2.893,0.0000,0.0000,0.0000
2.913,0.0000,0.0000,0.0000
2.933,0.0000,0.0000,0.0000
2.953,0.0000,0.0000,0.0000
2.973,0.0000,0.0000,0.0000
2.992,0.0000,0.0000,0.0000
3.013,0.0000,0.0000,0.0000
3.033,0.0000,0.0000,0.0000
3.053,0.0000,0.0000,0.0000
3.073,0.0000,0.0000,0.0000
3.093,0.0000,0.0000,0.0000
3.113,0.0000,0.0000,0.0000
3.133,0.0000,0.0000,0.0000
3.153,0.0000,0.0000,0.0000
3.173,0.0000,0.0000,0.0000
3.192,0.0000,0.0000,0.0000
3.213,0.0000,0.0000,0.0000
3.233,0.0000,0.0000,0.0000
3.252,0.0000,0.0000,0.0000
3.273,0.0000,0.0000,0.0000
3.293,0.0000,0.0000,0.0000
3.313,0.0000,0.0000,0.0000
3.333,0.0000,0.0000,0.0000
3.353,0.0000,0.0000,0.0000
3.373,0.0000,0.0000,0.0000
3.393,0.0000,0.0000,0.0000
3.413,0.0000,0.0000,0.0000
3.433,0.0000,0.0000,0.0000
3.453,0.0000,0.0000,0.0000
3.473,0.0000,0.0000,0.0000
3.493,0.0000,0.0000,0.0000
3.513,0.0000,0.0000,0.0000
3.533,0.0000,0.0000,0.0000
3.553,0.0000,0.0000,0.0000
3.573,0.0000,0.0000,0.0000
3.593,0.0000,0.0000,0.0000
3.613,0.0000,0.0000,0.0000
3.633,0.0000,0.0000,0.0000
3.653,0.0000,0.0000,0.0000
3.673,0.0000,0.0000,0.0000
3.693,0.0000,0.0000,0.0000
3.712,0.0000,0.0000,0.0000
3.733,0.0000,0.0000,0.0000
3.753,0.0000,0.0000,0.0000
3.773,0.0000,0.0000,0.0000
3.793,0.0000,0.0000,0.0000
3.813,0.0000,0.0000,0.0000
3.833,0.0000,0.0000,0.0000
3.853,0.0000,0.0000,0.0000
3.873,0.0000,0.0000,0.0000
